,Entity,Year,"Indicator:Alcohol, consumers past 12 months (%) - Sex:Male","Indicator:Alcohol, consumers past 12 months (%) - Sex:Female",Population (historical estimates)
1,Afghanistan,2016,1.0,0.3,34636200.0
520,Albania,2016,65.0,37.6,2881060.0
779,Algeria,2016,4.0,1.5,40339300.0
1152,Andorra,2016,85.0,64.3,72563.0
1411,Angola,2016,61.0,34.3,29154700.0
1795,Antigua and Barbuda,2016,63.0,36.5,90575.0
2054,Argentina,2016,79.0,55.7,43668200.0
2313,Armenia,2016,38.0,16.2,2865840.0
2315,Afghanistan,2016,1.0,0.3,34636200.0
2834,Albania,2016,65.0,37.6,2881060.0
3093,Algeria,2016,4.0,1.5,40339300.0
3466,Andorra,2016,85.0,64.3,72563.0
3725,Angola,2016,61.0,34.3,29154700.0
4109,Antigua and Barbuda,2016,63.0,36.5,90575.0
4368,Argentina,2016,79.0,55.7,43668200.0
4627,Armenia,2016,38.0,16.2,2865840.0
4629,Afghanistan,2016,1.0,0.3,34636200.0
5148,Albania,2016,65.0,37.6,2881060.0
5407,Algeria,2016,4.0,1.5,40339300.0
5780,Andorra,2016,85.0,64.3,72563.0
6039,Angola,2016,61.0,34.3,29154700.0
6423,Antigua and Barbuda,2016,63.0,36.5,90575.0
6682,Argentina,2016,79.0,55.7,43668200.0
6941,Armenia,2016,38.0,16.2,2865840.0
6943,Afghanistan,2016,1.0,0.3,34636200.0
7462,Albania,2016,65.0,37.6,2881060.0
7721,Algeria,2016,4.0,1.5,40339300.0
8094,Andorra,2016,85.0,64.3,72563.0
8353,Angola,2016,61.0,34.3,29154700.0
8737,Antigua and Barbuda,2016,63.0,36.5,90575.0
8996,Argentina,2016,79.0,55.7,43668200.0
9255,Armenia,2016,38.0,16.2,2865840.0
9257,Afghanistan,2016,1.0,0.3,34636200.0
9776,Albania,2016,65.0,37.6,2881060.0
10035,Algeria,2016,4.0,1.5,40339300.0
10408,Andorra,2016,85.0,64.3,72563.0
10667,Angola,2016,61.0,34.3,29154700.0
11051,Antigua and Barbuda,2016,63.0,36.5,90575.0
11310,Argentina,2016,79.0,55.7,43668200.0
11569,Armenia,2016,38.0,16.2,2865840.0
11571,Afghanistan,2016,1.0,0.3,34636200.0
12090,Albania,2016,65.0,37.6,2881060.0
12349,Algeria,2016,4.0,1.5,40339300.0
12722,Andorra,2016,85.0,64.3,72563.0
12981,Angola,2016,61.0,34.3,29154700.0
13365,Antigua and Barbuda,2016,63.0,36.5,90575.0
13624,Argentina,2016,79.0,55.7,43668200.0
13883,Armenia,2016,38.0,16.2,2865840.0
13885,Afghanistan,2016,1.0,0.3,34636200.0
14404,Albania,2016,65.0,37.6,2881060.0
14663,Algeria,2016,4.0,1.5,40339300.0
15036,Andorra,2016,85.0,64.3,72563.0
15295,Angola,2016,61.0,34.3,29154700.0
15679,Antigua and Barbuda,2016,63.0,36.5,90575.0
15938,Argentina,2016,79.0,55.7,43668200.0
16197,Armenia,2016,38.0,16.2,2865840.0
16199,Afghanistan,2016,1.0,0.3,34636200.0
16718,Albania,2016,65.0,37.6,2881060.0
16977,Algeria,2016,4.0,1.5,40339300.0
17350,Andorra,2016,85.0,64.3,72563.0
17609,Angola,2016,61.0,34.3,29154700.0
17993,Antigua and Barbuda,2016,63.0,36.5,90575.0
18252,Argentina,2016,79.0,55.7,43668200.0
18511,Armenia,2016,38.0,16.2,2865840.0
18513,Afghanistan,2016,1.0,0.3,34636200.0
19032,Albania,2016,65.0,37.6,2881060.0
19291,Algeria,2016,4.8,1.5,40339300.0
19664,Andorra,2016,85.2,64.3,72563.0
19923,Angola,2016,61.6,34.3,29154700.0
20307,Antigua and Barbuda,2016,63.9,36.5,90575.0
20566,Argentina,2016,79.9,55.7,43668200.0
20825,Armenia,2016,38.0,16.2,2865840.0
21453,Australia,2016,88.3,70.6,24195700.0
21712,Austria,2016,87.7,68.9,8736490.0
21972,Azerbaijan,2016,31.6,12.8,9976250.0
22232,Bahamas,2016,57.9,30.5,395986.0
22491,Bahrain,2016,11.5,3.8,1409670.0
22750,Bangladesh,2016,3.5,1.0,159784992.0
23009,Barbados,2016,65.2,37.4,278660.0
23265,Belarus,2016,79.0,69.2,9708110.0
23524,Belgium,2016,86.6,66.8,11316800.0
23783,Belize,2016,54.9,28.4,367327.0
24042,Benin,2016,37.0,15.4,11260100.0
24373,Bhutan,2016,39.8,17.3,749764.0
24632,Bolivia,2016,59.1,31.9,11263000.0
24963,Bosnia and Herzegovina,2016,62.1,34.0,3480980.0
25222,Botswana,2016,44.0,20.0,2352420.0
25482,Brazil,2016,54.0,27.3,206860000.0
25814,Brunei,2016,37.3,29.1,426001.0
26073,Bulgaria,2016,79.2,53.9,7245980.0
26332,Burkina Faso,2016,51.2,23.2,19275500.0
26591,Burundi,2016,43.7,20.0,10903300.0
26850,Cambodia,2016,43.2,19.6,15624600.0
27109,Cameroon,2016,46.9,21.4,23711600.0
27368,Canada,2016,77.3,52.1,36113500.0
27627,Cape Verde,2016,53.8,25.0,558399.0
27932,Central African Republic,2016,50.8,24.9,4904180.0
28191,Chad,2016,31.7,13.1,14592600.0
28451,Chile,2016,80.0,55.8,18083900.0
28710,China,2016,68.6,42.6,1401890048.0
28971,Colombia,2016,51.7,25.6,47626000.0
29230,Comoros,2016,6.2,1.9,746239.0
29470,Congo,2016,65.5,38.0,5186830.0
29729,Cook Islands,2016,64.5,37.0,17572.0
29801,Costa Rica,2016,49.5,23.9,4945200.0
30060,Cote d'Ivoire,2016,52.3,24.1,24213600.0
30319,Croatia,2016,73.9,46.8,4223750.0
30578,Cuba,2016,59.9,32.3,11342000.0
30909,Cyprus,2016,80.6,56.6,1197890.0
31168,Czechia,2016,86.0,65.4,10527600.0
31428,Democratic Republic of Congo,2016,49.2,23.8,81431000.0
31687,Denmark,2016,85.0,64.2,5706860.0
31946,Djibouti,2016,28.2,11.1,1023270.0
32205,Dominica,2016,59.0,31.7,70098.0
32462,Dominican Republic,2016,56.7,29.7,10527600.0
32722,Ecuador,2016,60.3,32.9,16439600.0
32981,Egypt,2016,4.2,1.4,99784000.0
33240,El Salvador,2016,41.8,19.0,6250510.0
33499,Equatorial Guinea,2016,83.3,61.7,1398940.0
33758,Eritrea,2016,29.2,11.6,3365290.0
34018,Estonia,2016,84.9,62.6,1315930.0
34277,Eswatini,2016,40.4,17.7,1142530.0
34536,Ethiopia,2016,32.1,13.2,105293000.0
35537,Fiji,2016,25.5,9.8,918371.0
35787,Finland,2016,83.8,61.7,5495220.0
36046,France,2016,85.8,65.6,63989300.0
36502,Gabon,2016,78.6,54.1,2086210.0
36761,Gambia,2016,37.8,16.2,2317210.0
37020,Georgia,2016,48.9,23.0,3771110.0
37279,Germany,2016,88.5,70.6,82331400.0
37538,Ghana,2016,36.8,15.7,29554300.0
37869,Greece,2016,78.3,53.3,10749700.0
38232,Grenada,2016,63.6,35.7,119973.0
38687,Guatemala,2016,38.6,16.9,16291000.0
39018,Guinea,2016,30.7,12.6,11931000.0
39277,Guinea-Bissau,2016,40.5,17.5,1834550.0
39536,Guyana,2016,52.2,25.9,759097.0
39795,Haiti,2016,47.9,22.9,10713800.0
40317,Honduras,2016,41.3,18.5,9460800.0
40835,Hungary,2016,79.9,54.8,9815110.0
